UC1,UC2,UC3,UC4,IUC
58.000000,19.661345,23.305156,19.990228,39.492788
63.500000,21.703617,29.911892,21.944286,34.264949
62.500000,20.590118,27.694841,20.986314,32.942818
58.500000,20.370445,26.672412,20.508568,40.508571
57.500000,21.407060,25.776891,20.542344,40.037716
58.500000,23.266562,27.184084,21.325149,41.212633
49.000000,20.628179,22.418109,19.139422,34.864285
68.000000,26.044448,34.094060,22.763812,47.817053
57.500000,19.593017,28.042253,20.600979,31.434062
53.500000,19.180830,25.597222,19.763437,37.506915
62.500000,26.781750,33.622315,23.391261,45.215888
61.000000,22.502185,28.389362,21.696079,42.597938
60.500000,22.747627,28.357271,20.928596,42.255582
61.000000,25.801152,31.224534,22.171941,43.699604
63.000000,23.580651,29.865677,22.536770,34.745774
58.000000,23.090304,27.724065,21.217813,41.005364
65.000000,26.031696,34.018418,23.361778,46.401982
61.000000,21.587907,31.883074,21.584853,34.013958
60.500000,17.982230,24.943981,19.639248,30.766365
53.000000,22.494966,28.351228,21.205582,38.508629
62.000000,21.984702,30.116419,21.710334,33.952864
63.000000,23.226123,34.067140,22.201477,35.623685
56.500000,20.649885,26.457579,20.313342,39.486801
60.500000,21.513082,29.714544,21.567054,33.323670
56.000000,25.013996,30.637288,21.956314,40.934600
52.500000,23.012162,24.647793,20.568470,37.621404
58.500000,25.615663,27.146629,21.961911,41.704034
58.000000,19.462602,26.414742,20.105883,30.995807
64.500000,26.887652,32.939644,23.506761,46.139010
63.500000,21.111467,30.296941,21.533365,34.110443
57.500000,22.600926,31.038811,21.438722,41.263076
60.000000,23.704374,25.937544,21.516180,41.859683
56.500000,18.795948,26.718221,19.846532,30.465175
57.500000,21.014990,28.878257,21.031086,40.570722
56.000000,21.285479,27.353565,20.958024,39.599511
58.500000,22.881250,28.953589,21.329829,41.444111
63.000000,24.657274,28.877779,21.851776,44.064472
55.500000,24.219824,28.110101,21.138500,39.994737
55.000000,19.324353,27.135028,20.131128,30.397627
67.500000,25.030664,31.818409,22.684528,47.005600
64.500000,22.844185,29.698425,21.982022,34.756158
60.500000,22.610746,28.459618,21.206502,42.296144
61.500000,26.592081,29.232101,22.516206,43.806731
60.500000,26.702674,28.573976,22.505387,43.213673
57.500000,24.139857,32.322440,22.277023,41.873220
58.000000,20.906283,25.312424,20.267963,40.081112
61.000000,26.845573,31.023735,22.787500,43.942801
59.000000,20.876208,28.372691,21.067151,32.329013
65.000000,24.472478,31.196660,21.977865,45.441167
64.000000,26.171911,32.147088,23.311622,45.605104
58.000000,19.193704,26.321909,19.966489,30.870526
62.500000,26.888569,28.473271,22.492909,44.225791
59.500000,21.383436,28.603209,21.285963,32.693152
58.500000,21.325431,28.946165,21.371676,32.535818
