UC1,UC2,UC3,UC4,IUC
58.500000,25.060432,31.113983,21.918816,42.265539
60.000000,22.360761,29.304928,22.113846,42.296589
52.000000,18.783312,26.468655,19.846173,36.849690
59.500000,23.580704,32.520497,22.637929,42.873188
61.500000,23.911797,34.474490,23.147340,35.758407
57.000000,22.648629,29.453315,21.294501,40.732741
63.500000,27.587911,36.917125,23.727020,46.455343
59.500000,26.266378,31.115028,22.483303,43.060785
59.000000,23.377675,30.757077,21.454823,42.098262
55.500000,23.361694,28.917380,21.731917,40.085165
56.500000,21.560100,27.285347,20.697832,39.840547
56.500000,24.143977,30.151185,21.812452,40.934602
54.500000,17.120922,26.609932,19.657217,29.472018
63.000000,23.830533,31.317472,22.531195,44.446533
57.000000,25.612857,28.395290,22.065621,41.178961
58.500000,21.258924,29.280410,21.091117,41.188409
53.500000,23.540625,31.872478,21.806735,39.619973
57.500000,25.989062,31.310135,22.211543,42.001790
64.000000,24.294798,32.100605,22.732134,45.187923
58.500000,25.594864,28.846643,21.741815,41.947220
54.500000,21.196592,27.806674,20.544185,38.841242
56.000000,22.934701,27.272783,21.111114,39.886433
60.000000,19.876412,30.370676,21.259094,32.876545
61.500000,27.991095,32.016755,22.956666,44.577419
58.500000,21.628277,26.492224,20.445280,40.677630
57.500000,23.965993,29.903592,21.691400,41.343498
55.000000,20.843043,29.403623,20.678766,39.320905
65.500000,23.517358,32.901170,22.687096,45.934271
61.000000,24.407102,29.734306,22.061513,43.200487
58.000000,26.018818,31.383958,22.320643,42.287237
52.000000,19.402092,26.051102,20.407216,36.976735
55.500000,21.845927,29.017466,21.312562,39.779326
56.500000,21.728558,28.718506,21.361217,40.218047
59.000000,19.576348,29.532906,20.349693,41.076491
61.000000,22.487579,30.782295,21.748623,43.003083
54.000000,20.397188,28.257519,20.382116,38.506137
56.500000,26.310997,28.250883,21.980744,41.007104
56.000000,19.846166,28.906508,20.303082,39.509293
58.500000,21.700944,30.715214,21.536718,41.575479
60.000000,24.260336,28.515246,21.649147,42.404121
59.000000,22.407322,31.451621,21.761157,42.103350
57.500000,25.637703,29.273068,21.820645,41.538569
49.000000,16.038612,24.339530,18.628320,34.334410
55.000000,24.858725,27.724563,21.533270,39.852760
57.000000,23.486786,33.914226,22.341960,41.790495
58.000000,24.350848,28.738494,21.440789,41.421688
59.500000,22.058193,28.069844,21.294226,41.653711
53.500000,21.671901,30.310256,20.787581,38.878290
57.500000,26.912413,30.720164,22.524329,42.109484
57.000000,22.282917,27.634139,21.144849,40.343651
60.000000,20.782001,27.701867,21.321125,41.634165
59.000000,22.679360,29.948664,21.983902,41.935321
60.000000,23.384955,29.671821,21.963243,42.503336
57.500000,27.290363,28.237481,22.175246,41.700515
57.000000,23.728183,30.399843,21.998539,41.187761
57.500000,21.472652,29.168313,21.167397,40.718060
58.000000,22.725932,28.777696,20.936550,41.073363
60.000000,22.242512,28.018438,21.304349,41.927550
61.500000,23.203398,30.678517,22.172266,43.425697
55.000000,25.254965,31.523872,22.128113,40.651158
56.000000,29.624196,26.976867,22.383718,41.164130
63.500000,23.501813,29.264521,21.790895,44.176205
57.500000,18.903446,25.433168,19.705428,39.423674
51.500000,21.798726,23.319301,19.804306,36.570389
57.000000,19.493119,25.336542,20.150543,39.330034
57.500000,21.211138,31.987273,21.538553,41.206161
56.500000,19.516259,27.752973,20.497269,39.544417
58.500000,22.481385,31.439924,22.527419,41.991455
52.000000,20.564393,26.720496,20.359217,37.274018
55.500000,17.306025,26.255004,19.002321,38.177225
50.000000,18.958080,24.210194,19.205873,35.395691
57.500000,23.676887,27.943538,20.843450,40.827312
61.500000,24.746773,29.739936,22.485534,43.578707
56.500000,29.008629,25.837787,21.967037,41.052242
56.500000,20.609215,25.697884,20.141723,39.324804
54.500000,19.586003,26.553015,19.937517,38.262756
54.000000,26.961445,29.385617,22.196547,40.090601
57.500000,22.567371,28.107994,21.464246,40.773269
53.500000,22.031775,30.219381,21.197216,38.991395
58.500000,22.764039,28.201148,20.561161,41.171058
58.500000,26.432476,28.936035,21.946456,42.135828
61.500000,26.554056,33.533424,23.272275,44.643293
54.500000,21.512428,25.091475,19.930465,38.339061
55.000000,21.396898,27.069068,20.509585,38.995925
60.500000,25.143935,33.410872,22.569258,43.770677
55.500000,25.735078,28.250232,21.468688,40.325666
59.000000,24.935416,29.981290,22.441349,42.393009
56.000000,22.522060,30.418685,21.711198,40.441990
53.500000,21.878232,26.271418,20.406549,38.176033
59.000000,25.965825,29.240845,22.541159,42.457972
55.500000,25.785864,28.302690,21.244117,40.305445
56.500000,25.401977,27.194333,21.698601,40.632485
58.500000,22.223712,29.840221,21.764653,41.554764
60.000000,34.910479,34.287850,24.728545,45.654479
62.500000,24.306797,28.206170,21.488711,43.583613
55.000000,26.591399,29.589386,22.148974,40.554960
56.500000,22.189929,26.613592,20.400681,39.784034
65.500000,24.189826,32.955071,22.785802,46.071783
65.000000,29.329131,34.235248,23.446669,47.001841
52.500000,21.489729,28.236178,20.792035,38.002990
54.000000,22.578464,27.745195,20.968021,38.881947
61.000000,28.337694,34.448524,23.694693,44.913485
60.500000,19.718644,30.993752,20.808153,42.170091
